ref_no,title,tender_value,bid_submission_end_date,emd,bid_open_date
02/NIT/CE/EE(E)/IED/Itanagar/2025-26 (Recall),"1) Construction of Phase-A (Leftover) work at Jawahar Navodaya Vidyalaya, Distt: Kameng (Arunachal Pradesh). (2) Construction of Phase-B (Leftover) work at Jawahar Navodaya Vidyalaya, Dist: East Kameng (Arunachal Pradesh) (SH : Package II - External Electrical development works covering Phase A & Phase B)","₹93,32,086",05/06/2025 15:00,"₹1,86,642",05/06/2025 15:30
03/EE(E)/IED/ITANAGAR/2025-26,"Charge to contingency from the work of Construction of Establishment of Mini MRO (Maintenance Repair Overhaul) Hub at Missamari (For supporting fleet of Advance Light Helicopter) at Army Base, Sonitpur District (Assam). (SH : Providing services of Computer operators, Data Entry Operator for planing / accounting/correspondence branch, Man Power for maintening the official records for Accounts / Correspondance branch for the office)","₹6,29,230",05/06/2025 15:00,"₹12,585",05/06/2025 15:30
04/EE(E)/IED/ITANAGAR/2025-26,"Charge to contingency from the work of Construction of Establishment of Mini MRO (Maintenance Repair Overhaul) Hub at Missamari (For supporting fleet of Advance light Helicopter) at Army Base, Sonitpur District (Assam). (SH : Providing services of staff to look after various works)","₹6,84,194",05/06/2025 15:00,"₹13,684",05/06/2025 15:30
38/2025-26/DED-102/DELHI/4,"MOEI and Fans at HM/DHM, Ex. PM, Former President of India various bungalows under SD-4/DED-102, New Delhi. (Sub Head: Renovation/Upgradation/Repairs of office block at bungalow No. 15 Safdarjung Road and other various bungalows)","₹24,73,339",05/06/2025 15:00,"₹49,467",05/06/2025 15:30
19(2)/KCESD-III/KCED-I/Kol/2025/215 dated 28.05.2025,"MOEI & RMO pump sets for main building Bhasha Bhawan, National Library Complex, Kolkata, during 2025-26 (SH: Providing air circulator fan and point wiring in 2 Nos. lift machine room of Bhasha Bhawan, N. L. Complex, Kolkata).","₹73,236",05/06/2025 15:00,N/A,05/06/2025 15:30
12/EE(E)/PLEWD/2025-26,"Operation and Maintenance of E&M Services in Parliament Library Building, New Delhi (S.H.: Operation and Comprehensive maintenance of (BOSCH Make) Public Address System).","₹37,75,944",05/06/2025 15:00,"₹75,519",05/06/2025 15:30
13/EE/ED/2025-26,"Up-gradation work in NSCS (Naraina Office) under 2/E Sub Division CPWD, New Delhi during 2025-26 (SH: Replacement of damaged shed, wateproofing of wall, polishing of office table, door, window and other misc. civil work).Subwork/Packages:Replacement of damged shed, waterproofing of wall, polishing of office table, door, window and other misc. civil work","₹7,22,375",05/06/2025 15:00,"₹14,448",05/06/2025 15:30
44/EE/E/PEED/2025-2026,Operation and maintenance of E and M services at RP Nilayam HyderabadSubwork/Packages:Providing miscellaneous EI items as and when required basis,"₹96,04,157",06/06/2025 15:00,"₹1,92,083",06/06/2025 15:30
23/EE(E)/PCED/NIT/2025-26,"MOEI & fans, RMO pump set, Street Lights, Substation DG set Lift & Fountain at ICE Hose complex, Pune. SH: Comprehensive maintenance of VRF and Split AC units in VIP Heritage Guest House.","₹4,13,604",06/06/2025 11:00,"₹8,272",06/06/2025 11:30
68/EE(E)/DED-101/2025-26,"Operation of Fire Fighting System and Fire Alarm System at PM Office, South Block, New Delhi.","₹18,59,148",05/06/2025 15:00,"₹37,183",05/06/2025 15:30
39/2025-26/DED-102/DELHI/2,"Upgradation work of various bungalows occupied by Honble Supreme Court/High Court Judges under SD-2/DED-102, New Delhi (SH: Miscellaneous Electrical External development work including providing & fixing of Decorative lighting work in 6 Tughlak Road)","₹21,10,481",05/06/2025 15:00,"₹42,210",05/06/2025 15:30
03EELD202526RECALL,"Renovation of DLSA, PHC, New Delhi ground floor with wall panelling glass partition, false ceiling and wooden cupboard work at Patiala House Court Complex, New Delhi. SH: - Civil and Electrical work.","₹77,40,731",05/06/2025 15:00,"₹1,54,815",05/06/2025 15:30
11/AE-I/EE/VBD/2025-26,Providing and Fixing of Gypsum Partition wall in Yoga Room in Jawaharlal Nehru Bhawan New Delhi dg 2025-26Subwork/Packages:Providing and Fixing of Gypsum Partition wall in Yoga Room in Jawaharlal Nehru Bhawan New Delhi dg 2025-26,"₹2,63,702",05/06/2025 15:00,"₹5,274",05/06/2025 15:30
02/EE(E)/AE(E)/BFESD-I/SIL/2025-26,"Construction of 17 Nos. Forward BOPs (14 Nos. Company level & 3 Nos. BOPs Platoon level) in the state of Tripura for Border Security Force along Indo-Bangladesh Border. (SW: Hiring of Vehicle for site inspection for the office of the Executive Engineer(E), Border Fencing Electrical Division-VII, CPWD, Silchar, Assam).Subwork/Packages:Hiring of Vehicle for site inspection for the office of the Executive Engineer(E), Border Fencing Electrical Division-VII, CPWD, Silchar, Assam.","₹5,39,618",05/06/2025 15:00,"₹10,793",05/06/2025 15:30
06/EE(E) Chennai-II/CPWD/2025-26/Ch-40/AE (E)-1/II-RECALL,"Annual Comprehensive Maintenance of 42HP (14HP x 3 Nos) Capacity VRF System Installed in CBI, SCB at GPOA Rajaji Bhawan, Chennai-600 090 for the period of 1 year","₹1,47,168",05/06/2025 15:00,"₹2,943",05/06/2025 15:30
07/EE/RMLD/2025-26,"A/A to Dr. RML Hospital, New Delhi during 2025-26. (SH:- Renovation of common toilet  in old Doctors Hostel at Dr. RML Hospital, New Delhi).Subwork/Packages:Renovation of common toilet in old Doctors Hostel at Dr. RML Hospital, New Delhi","₹62,49,964",05/06/2025 15:00,"₹1,24,999",05/06/2025 15:30
69/EE(E)/DED-101/2025-26,"RMO Sub-Station at Vayu Bhawan, New Delhi. (SH: Annual Comprehensive Maintenance of ACB.)","₹11,28,142",05/06/2025 15:00,"₹22,563",05/06/2025 15:30
67/2025-26/DED-201/1,"MOEI & Fans RMO Booster P/Set in the R/o HMPs Bungalows under Ferozshah Road Sub Division-1, DED-201, dg. 2025-26. (SH: SITC/Replacement of LED Name plates)Subwork/Packages:SITC/Replacement of LED Name plates.","₹5,92,000",05/06/2025 15:00,"₹11,840",05/06/2025 15:30
04/SE/DC-10/SJHD/2025-26,"Renovation of washrooms in Ground & First Floor for World Para Athletics Championship 2025 in the Main Arena at the JLN Stadium Complex, New Delhi (SH: Civil & Electrical Works)","₹4,71,64,194",09/06/2025 15:00,"₹9,43,284",09/06/2025 15:30
01/EE/SP/2025-26,Construction of Vocational Labs Size 10.6 X 7.0 m under PM SHRI at Kendriya Vidyalaya Kargil Ladakh,"₹67,01,278",05/06/2025 15:00,"₹1,34,026",05/06/2025 15:30
26-EEE-SJHED-2025-26,"RMO WTAC, STAC, Refrigerator & Water cooler at S.J. Hospital, New Delhi. (SH: SITC of ductable type AC for CGHS, Burns Plastic OPD and Lab 19).","₹14,39,463",05/06/2025 15:00,"₹28,789",05/06/2025 15:30
06/SE/PCWC/CPWD/2025-26,"Provision of temporary arrangements on hire basis round the year for different function held in Parliament House & Samvidhan Sadan during 2025-26 (SH: Tentage work & EPNS silver cutlery, crockery arrangement).","₹1,18,13,663",19/06/2025 15:00,"₹2,36,273",19/06/2025 15:30
68/2025-26/DED-201/1,"MOEI & Fans RMO Booster P/Set in the R/o HMPs Bungalows under Ferozshah Road Sub Division-1, DED-201, dg. 2025-26. (SH: Replacement of post top lights, Fans etc.)Subwork/Packages:Replacement of post top light, Fans etc.","₹5,72,625",05/06/2025 15:00,"₹11,453",05/06/2025 15:30
21/DD/HD-1/2025-26/2,"M/o Garden area attached to different VVIP Buildings under sub division 2/HD-1, CPWD, New Delhi, during 2025-26. SH: Providing and displaying of different varieties of foliage plants at site.","₹44,93,190",05/06/2025 15:00,"₹89,864",05/06/2025 15:30
13/EE/PHCWD/AE-I/2025-26,A R & M O of Parliament House during 2025 26 SH Replacement of damaged Granite Drain Covers in Parliament House Complex New DelhiSubwork/Packages:A R & M O of Parliament House during 205 26 SH Replacement of damaged Granite Drain Covers in Parliament House Complex New Delhi,"₹5,39,878",05/06/2025 15:00,"₹10,798",05/06/2025 15:30
27-EEE-SJHED-2025-26,"MOEI & fans i/c compound light at VMMC at S.J. Hospital Campus, New Delhi. (SH: Provision of Energy Audit for VMMC Building and Old SIC Building).","₹9,15,975",05/06/2025 15:00,"₹18,320",05/06/2025 15:30
01/AE(E)-III/DED-203/2025-26,"(1) MOEI and Fans i/c Security Light at Shram Shakti Bhawan, New Delhi. During F.Y. 2025-26 (2) MOEI and Fans i/c Security Light at Janpath Bhawan, New Delhi. During F.Y. 2025-26 (SH: Comprehensive Maintenance of Servo Voltage Stabilizer.)Subwork/Packages:(1) MOEI and Fans i/c Security Light at Shram Shakti Bhawan, New Delhi. During F.Y. 2025-26 (2) MOEI and Fans i/c Security Light at Janpath Bhawan, New Delhi. During F.Y. 2025-26 (SH: Comprehensive Maintenance of Servo Voltage Stabilizer.)","₹2,52,780",05/06/2025 15:00,"₹5,056",05/06/2025 15:30
26/NIT/EE(E)/KOL-II/CPWD/2025-26-RECALL-1,"MOEI & fans including RMO pump sets, fire pump sets, lifts etc. for General Pool, Type-V Qtrs. (G Plus 9) storied in two blocks at 14, Iron Side Road, Kolkata during 2025-26. (SH: Providing operation and maintenance of DG set & wet riser system.)","₹19,63,008",05/06/2025 15:00,"₹39,260",05/06/2025 15:30
28-EEE-SJHED-2025-26,"RMO E&M Services at JLN Stadium, New Delhi. (SH: Comprehensive maintenance of 3 x 275 TR capacity York make water cooled screw chiller and AHUs).","₹50,79,552",05/06/2025 15:00,"₹1,01,591",05/06/2025 15:30
19(RECALL)/EE(E)/DEHRADUN/2025-26,C/o Commercial/Administrative Building of Bank of Baroda at IT Park Dehradun. (SH:- Pdg. Service of Enquiry Clerk/Data entry operator & office Attendant/MTS)Subwork/Packages:Pdg. data entry operator & MTS,"₹6,70,146",05/06/2025 15:00,"₹13,403",05/06/2025 15:30
63/AE(E)-I/FESD/2025-26,"Providing E & M Services at CIL Building, NH-IV, Faridabad.(SH:- Repairing of LT Cable trench/modification new gear box in MS shutters, Cleaning of cable trench, removing of dismantle cables, dressing of cables, Yamuna Sand)Subwork/Packages:Repairing of LT cable trench/modification new gear box in MS shutters, Cleaning of cable trench, removing of dismantle cables, dressing of cables, Yamuna Sand","₹5,99,006",05/06/2025 15:00,"₹11,980",05/06/2025 15:30
06/DD/HD-II/DB/2025-26,"M/o garden area attached to  defence complex (Army, Navy & DGQA) at Sena Bhawan, KG Marg and Africa Avenue under Horticulture Subdivision-2/II CPWD New Delhi during 2025-26. (SH: - Providing and arrangement of cut flower)","₹70,67,028",19/06/2025 15:00,"₹1,41,341",19/06/2025 15:30
42/2025-26/DED-102/DELHI/1,"Annual Comprehensive Maintenance of Kitchen Equipments at Vindhya Room Kitchen and 1st Floor Kitchen at Hyderabad House, New Delhi","₹3,10,956",05/06/2025 15:00,"₹6,219",05/06/2025 15:30
17/NIT/EE(E)-Agra/AE(E)-Bareilly/2025-26/Recall,"Comprehensive maintenance and operation of 01 No. 13 Passenger Johnson make lifts installed at G.P.O Building, (G Plus 3) Bareilly (SH: Annual maintenance contract of 01 No. 13 Passenger Johnson make lifts)Subwork/Packages:Annual maintenance contract of 01 No. 13 Passenger Johnson make lift.","₹1,53,856",05/06/2025 15:15,"₹3,077",05/06/2025 15:30
27/AE(E)-III/VBED/2025-26,"Addition/Alteration of E&M Installations at Nirman Bhawan, New Delhi.","₹4,85,130",05/06/2025 15:00,"₹9,703",05/06/2025 15:30
03/NIT/EE/BFD-VI/2025-26,Construction of Road and new design fence to plug gaps from BP No. 154M to 154-5S 2.15 Km at BOP Kacharipara BP No. 15-5S to 155-2S 3.0 Km at Madhugiri and BP No. 155-2S to 157-1R 2.44 Km at Bousamari and BP No. 157-11R to 58-10S 2.40 Km at district Nadia and Murshidabad of West Bengal. Total length 9.99 Km. GIN 50 51 52 54. SH Upgradation of existing road inside CPWD office campus from main entrance gate to staff quarters at CPWD Krishnanagar.Subwork/Packages:Upgradation of existing road inside CPWD office campus from main entrance gate to staff quarters at CPWD Krishnanagar,"₹14,84,322",05/06/2025 15:00,"₹29,686",05/06/2025 15:30
08/EE(E)/Mysuru/HCESD/2025-26(Recall),"Construction of Permanent campus for Indian Institute of Technology Dharwad Phase 1A. SH: Providing of Airconditiong Units, LED fittings, DBs, MCBs and at Office of Executive Engineer, CPWD, Hubli.","₹5,83,835",05/06/2025 15:00,"₹11,677",05/06/2025 15:30
23/2025-26/DD/HD-III/DELHI/1to3,"Providing and displaying/arranging of cut flowers, flower bunch and flower laries for VVIPs functions under Hort. Division-III, CPWD, New Delhi Dg. 2025-26","₹94,63,477",05/06/2025 15:00,"₹1,89,270",05/06/2025 15:30
21/EE/AIIMSPD/2025-26,"Watch and Ward of GPOA INA, Vacant Shops at INA Market, Vacant Land at South Ext. CPWD Office near Indira Pariyavaran Bhawan, CPWD Office at R.K. Puram New Delhi during 2025-26.","₹81,36,402",05/06/2025 15:00,"₹1,62,728",05/06/2025 15:30
26/AE(E)-III/VBED/2025-26,"Maintenance and Operation of VRV/VRF system installed in Room No. 701 A, 704 A & 705 A of MSME at Nirman Bhawan, New Delhi.","₹2,25,030",05/06/2025 15:00,"₹4,501",05/06/2025 15:30
42/2025-26/DED-102/DELHI/3,"MOEI & fans, RMO , P/set at various Hon ble Ex. PM bungalows under SD-III/DED-102, New Delhi(SH- Prividing cubical panel and other electrical work for 5 Safdarjung Lane and 1 Teen Murti Marg","₹4,65,214",05/06/2025 15:00,"₹9,304",05/06/2025 15:30
04/2025-26/EE/Kol-I/Kolkata,"A/R & M/O Non-Residential Building at 1 No. Council House Street, Kolkata during 2025-26. SH: Periodical disposal of garbage, building rubbish & day-to-day maintenance of building and other miscellaneous works.","₹14,23,216",05/06/2025 15:00,"₹28,464",05/06/2025 15:30
25/AE(E)-III/VBED/2025-26,"MOEI & Fans in various rooms at Nirman Bhawan, New Delhi.","₹5,92,347",05/06/2025 15:00,"₹11,847",05/06/2025 15:30
12/EE(E)/PCED/NIT2025-26(Recall),"MOEI & fans, RMO pump set, street light, DG set at GPOA office bldg. Income Tax Qtrs. Income Tax, GST, ZSI Office at Akurdi, Pune and GST Sambhaji Nagar Qtrs., Chinchwad, Pune.","₹47,51,783",06/06/2025 11:00,"₹95,036",06/06/2025 11:30
06/NIT/EE(E)/MgCED/2025-26,"Renovation of 10 nos of Type-I Quarters and 5 nos of Type-II Quarters (Phase-II) at Survey of India Estate, Shillong for the year 2025-2026.","₹21,34,190",05/06/2025 15:00,"₹42,684",05/06/2025 15:30
02/EE/ODD/NIQ/2025-26,"CONSTRUCTION OF GO S MESS AT CRPF CAMPUS, MAHAVIR ANAGR, NEW DELHI. (CIVIL AND ELECTRICAL) (SH- CONSULTANCY SERVICES FOR STRUCTURAL DESIGN AND DRAWING WORK, SUBMISSION OF WORKING DRAWING I/C PROOF CHECKING ETC.)Subwork/Packages:SH- CONSULTANCY SERVICES FOR STRUCTURAL DESIGN AND DRAWING WORK, SUBMSSION OF WORKING DRAWING I/C PROOF CHECKING ETC.",₹0,05/06/2025 15:00,N/A,05/06/2025 15:30
10/NIT/CE/GHY/2025-26,Construction of Girls Hostel Building Pump House including IEI Fans and Fittings and E and M Services for IASST Institute of Advanced Study in Science and Technology at Pachim Boragaon Garchuk Guwahati SH Providing and installation of Furniture Modular kitchen and commercial kitchen equipment,"₹1,23,85,225",09/06/2025 15:00,"₹2,47,705",09/06/2025 15:30
44/EE(E)/DED-21/2025-26,"Providing services for operation & maintenance of internal & external electrical installations, compound lighting & security lighting installed at Rajghat, New DelhiSubwork/Packages:Providing of computer operator for Rajghat Samadhi at Rajghat, New Delhi","₹4,42,584",05/06/2025 15:00,"₹8,852",05/06/2025 15:30
11/EE/BCD-I/2025-26,"Renovation of Main Building of AYJNISHD(D). Regional Centre, BT Road, Bonhoogly, Kolkata-700090. SH  Internal and External Repair, Painting & Replacement of existing Window.Subwork/Packages:Internal and External Repair, Painting & Replacement of existing Window.","₹85,44,124",05/06/2025 15:00,"₹1,70,882",05/06/2025 15:30
43/2025-26/DED-102/DELHI/3,"MOEI & Fans at GOB s/DOB s bungalow under SD-III/DED-102, New Delhi(SH- Providing and fixing Cold water tank of Solar water Heating System at 33 Canning Lane, C-1/9 Tilak Lane and 13 MTC).","₹5,31,076",05/06/2025 15:00,"₹10,622",05/06/2025 15:30
02/AE(E)-III/DED-203/2025-26,"MOEI and Fans i/c Security Light at Transport Bhawan, New Delhi. During 2025-26. (SH: Providing Services of Highly Skilled Computer Operator.)Subwork/Packages:MOEI and Fans i/c Security Light at Transport Bhawan, New Delhi. During 2025-26. (SH: Providing Services of Highly Skilled Computer Operator.)","₹5,66,136",05/06/2025 15:00,"₹11,323",05/06/2025 15:30
09/EE(E)/SSKHED/2025-26,"Repair and Renovation of old Eye and ENT ward of SSKH For shifting of  Unit III ward and their allied Rooms of KSCH, New Delhi (SH:- Provision of HVAC System).","₹12,77,349",05/06/2025 15:00,"₹25,547",05/06/2025 15:30
24/EE/KD/2025-26,AR and MO to Residential and Non Residential Building for Income Tax Rohtak during the period 2025-26Subwork/Packages:Attending day to day complaints for maintenance,"₹5,47,425",05/06/2025 16:00,"₹10,949",05/06/2025 16:30
33/AE(E)-4/DED-102/2025-26/DELHI,"MOEI and Fans at HM/DHM, Ex. PM, former President of India Various Bungalows under SD-4/DED-102, New Delhi. (Sub Head: Providing Inverters at Various Ministers Bungalows).","₹5,58,152",05/06/2025 15:00,"₹11,163",05/06/2025 15:30
12/EE/BCD-I/2025-26,"Cleaning of Sewer line at AYJNISHD(D), Eastern Regional Centre, BT Road, Bonhoogly, Kolkata - 700090Subwork/Packages:Cleaning of Sewer line at AYJNISHD(D), Eastern Regional Centre, BT Road, Bonhoogly, Kolkata - 700090","₹9,96,042",05/06/2025 15:00,"₹19,921",05/06/2025 15:30
36/EE/NDN/2025-26,"Upgradation of 400 E Type-IV quarters at Pandara Road, New Delhi dg. 2025-26. SH: Repair Replacement of existing damaged sewerline.Subwork/Packages:CIVIL WORK","₹26,13,748",05/06/2025 15:00,"₹52,275",05/06/2025 15:30
13/EE/PCCWD/CPWD/2025-26,"A/R & M/O Parliament Library Building, Parliament House Annexe and Extension to Parliament House Annexe Building during 2025-26. (SH: Provision of Tentage items on hire basis for meeting and programme hosted by VVIP).","₹24,33,725",05/06/2025 15:00,"₹48,675",05/06/2025 15:30
22/DD/HD1/2025-26/3,"M/o Garden area attached to JSCs & GOBs Bungalows under Sub Division-3/HD-1, CPWD, New Delhi during 2025-26 (SH : Providing and displaying of different varieties of summer seasonal flowering potted plants at site).","₹52,91,750",05/06/2025 15:00,"₹1,05,835",05/06/2025 15:30
25/EE/PE/25-26/B-1,"A/R & M/O Rashtrapati Bhavan New Delhi dg. 25-26 (SH: Provision of racks to keep linen items in Rashtrapati Niwas Mashobra, Shimla.)","₹5,97,349",05/06/2025 15:00,"₹11,947",05/06/2025 15:30
13/EE/BCD-I/02/BCSD-I/2025-26,"Construction of 3,00,000 Litre Under Ground Sump and Pump Room and Providing & Laying Water Supply line for NILD, Bonhoogly, Kolkata. SH : Construction of Boundary Wall for Sensory Park at NILD Campus, Kolkata.Subwork/Packages:Construction of Boundary Wall for Sensory Park at NILD Campus, Kolkata.","₹5,68,474",05/06/2025 15:00,"₹11,369",05/06/2025 15:30
27/NIT/EE(E)/KOL-II/CPWD/2025-26-RECALL-1,"RMO of E&M Services at CDL Office Bldg. 03 No. Kyd Street, Kolkata. (SH: RMO of Internal & External Electrical installations.)","₹8,28,441",05/06/2025 15:00,"₹16,569",05/06/2025 15:30
03/AE(E)-III/DED-203/2025-26,"MOEI and Fans i/c Security Light at Vidyut Bhawan, New Delhi. dg. 2025-26. (SH: Comprehensive Maintenance of VRV/VRF Package System)Subwork/Packages:MOEI and Fans i/c Security Light at Vidyut Bhawan, New Delhi. dg. 2025-26. (SH: Comprehensive Maintenance of VRV/VRF Package System)","₹70,752",05/06/2025 15:00,"₹1,415",05/06/2025 15:30
03/2025-26/DD(H)/HD-PD,"Redevelopment of General Pool Residential colony at Mohmmadpur, New Delhi Construction of 400 Nos. Type-II and 345 Nos. Type-III General Pool Residential Accommodation (GPRA) on EPC basis. (SH: M/o Compensatory plantation of trees at CPWD Land at Ghitorni, New Delhi during year 2025-2028.)","₹76,86,855",05/06/2025 15:00,"₹1,53,737",05/06/2025 15:30
38/25-26/EE(Kol)-II/Kolkata,"Construction of IIT Kharagpur Research Park, New Town, Rajarhat. SH: Construction of road, kerb stone, kerb channel strome water drainage system in line with master plan. SH: Balance Work.Subwork/Packages:Construction of road, kerb stone, kerb channel strome water drainage system in line with Master Plan. SH: Balance work.","₹4,92,033",05/06/2025 15:00,"₹9,841",05/06/2025 15:30
08/NIT/EE/BFD-II/BFSD-II/2025-26,"Providing services of one diesel driven inspection vehicle for office duty of the Assistant Engineer, BFSD-Raiganj, IBBZ-I, CPWD, Raiganj under BFD-II, Islampur, Uttar Dinajpur.Subwork/Packages:Providing services of one diesel driven inspection vehicle for office duty of the Assistant Engineer, BFSD-Raiganj, IBBZ-I, CPWD, Raiganj under BFD-II, Islampur, Uttar Dinajpur.","₹4,41,247",05/06/2025 15:00,"₹8,825",05/06/2025 15:30
01/EE&SM(C)-2/DPC-II/CPWD/2025-26,"Construction of Central Ayurveda Research Institute (CARI) at FC-5, Block-A, Sector-28, Rohini, New Delhi. (Forth Call)Subwork/Packages:(SH: Providing Third Party Quality Assurance Services)","₹62,34,925",05/06/2025 15:00,"₹1,24,699",05/06/2025 15:30
29/NIT/EE(E)/KOL-II/CPWD/2025-2026,"RMO 4 Nos. 16 Passenger (G Plus 8) lift at Income Tax Bldg. (Main) & 2 Nos. 10 Passenger (G Plus 5) Lift at Income Tax Bldg. (Annexe) at P-7 & P-13 Chowringhee Square, Kolkata. (SH: Providing 5 Nos. Skilled for day to day Operation of lift)","₹20,97,468",05/06/2025 15:00,"₹41,949",05/06/2025 15:30
38/EE/CD-4/CPWD/2025-26,Upgradation of 5 Nos CBI Qtrs A 14B A 14C A 14D A14E and A 14F Type IV Residential Qtrs at MIG Flat Vatika Apartment Mayapuri New Delhi dg 2025-26,"₹42,93,108",05/06/2025 15:00,"₹85,862",05/06/2025 15:30
12/2025-26/DD/HD-V/DELHI/1-RECALL,"M/O Various Horticulture work under Hort. Sub division-I/V, CPWD, New Delhi, dg. 2025-26. (SH- Providing and Planting of summer seasonal plants in Poly bag at site.Subwork/Packages:Providing and Planting of Summer seasonal Plants in Poly bags","₹9,47,275",05/06/2025 15:00,"₹18,946",05/06/2025 15:30
38/EE/NDN/2025-26,"A/R and M/O to GPRA at Pandara Road Pandara Park Cornwalis Road and Bharti Nagar and other location under N Division CPWD New Delhi dg. 2025-26. SH: Protection of Wood Work in D-I, D-II and C-I Flats)Subwork/Packages:CIVIL WORK","₹36,04,818",05/06/2025 15:00,"₹72,096",05/06/2025 15:30
19/EE(E)/DED-51/NIT/2025-26,"Supplying, Installation, Testing and Commissioning of 50 KLD Water Softener Plant for Campus of NIMR at Sector -8, Dwarka, New Delhi - 110077.Subwork/Packages:Supplying, Installation, Testing and Commissioning of 50 KLD Water Softener Plant for Campus of NIMR at Sector -8, Dwarka, New Delhi - 110077","₹21,62,320",05/06/2025 15:00,"₹43,246",05/06/2025 15:30
05/02/NIT/CE/SILIGURI/CPWD/2025-26,"Development and Bulk Services for the BSF campus at Assam More, Jalpaiguri under North Bengal.","₹5,50,21,065",12/06/2025 15:00,"₹11,00,421",12/06/2025 15:30
34/AE(E)-4/DED-102/2025-26/DELHI,"MOEI and Fans at HM/DHM, Ex. PM, former President of India Various Bungalow under SD-4/DED-102, New Delhi. (Sub Head: Annual Comprehensive Maintenance of CCTV System at 17 Akbar Road).","₹4,31,724",05/06/2025 15:00,"₹8,634",05/06/2025 15:30
29/AE(E)2/SCPED2/2025-26,MO E&M Services at Supreme Court of India New DelhiSubwork/Packages:Supplying and Fixing Electrical Items,"₹5,69,080",05/06/2025 10:30,"₹11,382",05/06/2025 11:00
03/EE/BFD-IV/AE/MJBFSD/2025-26,"Extra Ordinary Repair of IBB Roads in the stretches under IBBR 56, 57, 62, 64, 67, 68, 69, 70 , 75 and Link Roads Total Length 200.05 Kms, Culvert Repair 236 Nos. and bridge painting 10 Nos. in the State of West Bengal and Assam along Indo-Bangladesh Border IBB. SH: Earth work, Culvert work, Toe wall, Dismantling and demolishing work, Road work and bridge painting in the stretches under IBBR 62, 64, 67, 70, 75, Package-I of Length 112.37 Km. SH: Providing Services as Watch and Ward for Mekhliganj Border Fencing Sub-Division Office cum Office store and Office Campus located at Menhliganj, Dist. Cooch Behar.","₹5,45,988",05/06/2025 15:00,"₹10,920",05/06/2025 15:30
31/NIT/EE(E)/KOL-II/CPWD/2025-2026,"RMO of various E&M Services at Department of Income Tax at E.M. Byepass, Kasba, Kolkata. (SH: Operation and day to day maintenance of IEI, EEI, substation equipments and DG Sets i/c allied electrical works.)","₹24,03,051",05/06/2025 15:00,"₹48,061",05/06/2025 15:30
04/SE/JC/2025-26,Laying of Bituminous Concrete after scarifying wherever required on existing main road of Campus Officer Mess and Admin Block along with laying of CC Paver Block in CRPF GC Sarai Khas Jalandhar,"₹1,64,81,311",05/06/2025 15:00,"₹3,29,626",05/06/2025 15:30
20/EE(E)/DED-51/NIT/2025-26,"MOEI and Fans, RMO Pump Sets, FFS of Down Comer System in Each Block Fire Alarm and Operation of Lifts in 231 Nos. Residential Flats for Ministry of External Affairs at Pappankalan, New Delhi (SH SITC of Water Automated Distribution System)Subwork/Packages:MOEI and Fans RMO Pump Sets FFS of Down Comer System in Each Block Fire Alarm and Operation of Lifts in 231 Nos. Residential Flats in Ministry of External Affairs at Pappankalan New Delhi (SH SITC of Water Automated Distribution System)","₹51,15,783",05/06/2025 15:00,"₹1,02,316",05/06/2025 15:30
19/DD/HD-1/2025-26/1 - Recall 1,"M/o Garden area attached to Air Force Station at Race Course under Hort. Sub Division-1/HD-1, CPWD, New Delhi dg 2025-26. SH: Providing & Displaying of different varieties of foliage plants, winter & summer seasonal flowering potted plants at site.","₹18,29,905",05/06/2025 15:00,"₹36,598",05/06/2025 15:30
45/EE (E)/DED-21/2025-26,"Making arrangement for celebration of Independence Day 2025 at Red Fort, Delhi. (SH: Providing Temporary Security Lighting and wiring for power outlets for metal detectors etc.)","₹96,97,848",05/06/2025 10:59,"₹1,93,957",05/06/2025 11:00
09/EE-GKP/2025-26,PROVIDING SERVICES OF MANPOWER FOR AYODHYA SUB DIVISION 1 CPWD AYODHYA (CH. TO. CONTEGENCIES OF WORK UNDER EXECUTIVE ENGINEER CPWD GORAKHPUR)Subwork/Packages:ONE,"₹2,60,024",05/06/2025 15:00,"₹5,200",05/06/2025 15:30
11/EE(E)/Gwalior/2025-26,"Contingencies of different work under CPWD Gwalior. SH Outsourcing of Staff for AE E office, CPWD gwaliorSubwork/Packages:Contingencies of different work under cpwd gwalior. sh- Outsourcing of staff for AE(E) office , CPWD Gwalior","₹2,41,616",05/06/2025 15:00,"₹4,832",05/06/2025 15:30
43/EE(E)/LKO/2025-26,"SITC of Antiglare Flood lights, Decorative Poles and LED Glow Sign Board at NSI, Kanpur","₹21,89,501",09/06/2025 15:00,"₹43,790",09/06/2025 15:30
20/2025-26/DED-71/1 Recall,"Day to Day and Annual Repair & maintenance of KVS (HQ) Building, New Delhi. (SH: SITC of 13 Nos. Passenger Lift (G 4) at KVS (HQ) Building )","₹15,45,916",05/06/2025 15:00,"₹30,918",05/06/2025 15:35
69/2025-26/DED-201/2,"RMO Electromechanical services at the Residence of HMPs Lok Sabha and Rajya Sabha under Sunehri bagh Road, SD-2, DED-201, New Delhi. (SH- SITC of Computer System for maintaining the essential services of service centre of HMP flats/bungalows)Subwork/Packages:SITC of Computer System for maintaining the essential services of service centre of HMP flats/bungalows","₹1,23,064",05/06/2025 15:00,"₹2,461",05/06/2025 15:30
